symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,timestamp,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
XRP/USDT,SHORT,2.4207,80.39,4h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",2.282889,2.181107,2.013573,2.480868,0.8738,0.6738,0.4737,16669781.6,2025-05-15 21:41:09,2.29,100.0,2,2,Normal,2.4207,pending,80
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
XLM/USDT,SHORT,0.2918,84.5,4h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",0.273768,0.260451,0.23853,0.299673,0.8738,0.6738,0.4737,10692994.0,2025-05-15 21:42:42,2.29,100.0,1,1,Normal,0.2918,pending,84
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
ETC/USDT,SHORT,18.79,85.36,1h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",18.2001,17.76342,17.043282,19.044347,0.8775,0.6775,0.4775,14923.15,2025-05-15 21:43:45,2.32,100.0,3,3,Normal,18.79,pending,85
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
VET/USDT,SHORT,0.02884,75.34,4h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",0.026765,0.025233,0.02271,0.029746,0.8738,0.6738,0.4737,34740560.1,2025-05-15 21:44:17,2.29,100.0,2,2,Scalping,0.02884,pending,75
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
LINK/USDT,SHORT,16.0,83.16,1h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",15.416343,14.984285,14.271768,16.251655,0.8775,0.6775,0.4775,128095.44,2025-05-15 21:45:19,2.32,75.0,3,4,Normal,16.0,pending,83
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
FET/USDT,SHORT,0.779,70.66,4h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",0.712564,0.664011,0.584789,0.809652,0.8572,0.6573,0.4572,2661687.0,2025-05-15 21:45:51,2.17,100.0,2,2,Scalping,0.779,pending,70
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
ATOM/USDT,SHORT,4.876,71.97,4h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",4.602088,4.399787,4.066796,4.99559,0.8738,0.6738,0.4737,134616.81,2025-05-15 21:48:26,2.29,100.0,2,2,Scalping,4.876,pending,71
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
ALGO/USDT,SHORT,0.2248,70.66,4h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",0.20883,0.197158,0.178115,0.232168,0.8572,0.6573,0.4572,3227570.0,2025-05-15 21:48:57,2.17,100.0,2,2,Scalping,0.2248,pending,70
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
DOGE/USDT,SHORT,0.21985,78.98,1h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",0.210004,0.202716,0.190697,0.224095,0.8775,0.6775,0.4775,43176705.0,2025-05-15 21:49:29,2.32,100.0,3,3,Scalping,0.21985,pending,78
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
CHZ/USDT,SHORT,0.04464,83.16,1h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",0.043081,0.041926,0.040023,0.045312,0.8775,0.6775,0.4775,3859571.0,2025-05-15 21:51:02,2.32,100.0,3,3,Normal,0.04464,pending,83
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
BCH/USDT,SHORT,394.5,70.48,4h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",375.923903,362.275153,339.904999,402.837071,0.8655,0.6655,0.4655,4378.813,2025-05-15 21:53:07,2.23,100.0,3,3,Scalping,394.5,pending,70
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
SOL/USDT,SHORT,169.29,77.03,4h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",159.641611,152.515676,140.786261,173.502499,0.8738,0.6738,0.4737,278473.25,2025-05-15 21:56:12,2.29,100.0,2,2,Scalping,169.29,pending,77
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
HIVE/USDT,SHORT,0.2611,75.53,1h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",0.250065,0.241973,0.22873,0.266103,0.8625,0.6625,0.4625,220890.0,2025-05-15 21:56:44,2.21,75.0,3,4,Scalping,0.2611,pending,75
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
SNX/USDT,SHORT,0.827,77.74,1h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",0.792827,0.767767,0.726759,0.842492,0.8625,0.6625,0.4625,95903.7,2025-05-15 21:58:17,2.21,75.0,3,4,Scalping,0.827,pending,77
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
SAND/USDT,SHORT,0.3219,79.71,4h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",0.296307,0.277404,0.24629,0.333074,0.8738,0.6738,0.4737,4430762.0,2025-05-15 22:01:23,2.29,75.0,3,4,Scalping,0.3219,pending,79
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
KSM/USDT,SHORT,19.47,74.03,4h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",17.794003,16.569149,14.570585,20.243259,0.8572,0.6573,0.4572,15923.855,2025-05-15 22:05:00,2.17,100.0,2,2,Scalping,19.47,pending,74
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
UNI/USDT,SHORT,6.226,75.53,1h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",5.993233,5.822536,5.543215,6.331521,0.8625,0.6625,0.4625,17358.09,2025-05-15 22:07:04,2.21,75.0,3,4,Scalping,6.226,pending,75
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
ALPHA/USDT,SHORT,0.0273,74.73,1d,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",0.020408,0.015369,0.007143,0.030472,0.858,0.658,0.458,117542680.0,2025-05-15 22:08:07,2.17,75.0,3,4,Scalping,0.0273,pending,74
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
INJ/USDT,SHORT,12.38,77.03,4h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",11.389064,10.657196,9.452529,12.812644,0.8738,0.6738,0.4737,125930.32,2025-05-15 22:10:11,2.29,100.0,2,2,Scalping,12.38,pending,77
symbol,direction,entry,confidence,timeframe,conditions,indicators_used,tp1,tp2,tp3,sl,tp1_possibility,tp2_possibility,tp3_possibility,volume,2025-05-20 01:53:27,risk_reward,timeframe_agreement,agreeing_timeframes,total_timeframes,trade_type,price,status,backtest_result
AXS/USDT,SHORT,3.071,75.53,1h,"['volume < volume_sma_20 * 0.9', 'macd < macd_signal']","volume, macd",2.949931,2.861147,2.715864,3.125885,0.8625,0.6625,0.4625,5431.22,2025-05-15 22:10:42,2.21,75.0,3,4,Scalping,3.071,pending,75
